	WYK3354	WYK3325	WYK3347	WYK3343	WYK3341	WYK3383	WYK3371	WYK3379	WYK3367	WYK3350	WYK3301	WYK3336	WYK3374	WYK3360	WYK3313	WYK3333	WYK3305	WYK3320	WYK3382	WYK3359	WYK3373	WYK3346	WYK3300	WYK3384	WYK3314	WYK3352	WYK3329	WYK3302	WYK3375	WYK3385	WYK3340	WYK3381	WYK3362	WYK3339	WYK3311	WYK3356	WYK3349	WYK3369	WYK3331	WYK3357	WYK3372	WYK3363	WYK3376	WYK3361	WYK3308	WYK3338	WYK3307	WYK3377	WYK3355	WYK3366	WYK3364	WYK3299
ALOX5AP	0.655022	0.924492	0.607238	0.626632	0.943948	0.806372	-0.021765	0.806094	0.092102	0.220015	0.336966	0.010442	0.999552	0.378922	-1.333091	0.828396	-0.587372	-1.269089	0.453821	-1.6451	-0.010442	-0.06688	1.081177	0.898337	-1.380624	0.932489	0.07485	0.771913	-0.415695	0.087987	-0.650237	-0.440684	0.458149	-0.206745	0.081773	-0.255397	0.516212	0.639317	-0.037065	-0.548473	-0.182372	-0.193597	-0.79004	-0.630717	-6.104818	0.550031	-0.35612	-0.05933	-0.331865	-0.199931	-1.503931	-2.667399
PALLD	-0.592955	0.19038	0.0064	-0.175773	-0.021265	-0.076078	0.672485	-0.216503	-0.296551	0.196576	-0.077663	-0.623939	-0.355079	0.839188	-0.035996	-0.908129	1.792001	-0.958153	0.589068	-1.822044	1.585923	0.891625	0.125056	-1.211674	-2.189547	-0.885992	-0.0064	0.364494	1.543048	-0.02611	0.324533	0.088721	-0.832047	0.827763	0.522876	0.470699	0.261426	0.846789	0.479016	-0.519323	0.398249	0.551066	-0.325264	-1.875093	-3.048178	0.502316	0.936557	0.254323	0.544997	-0.391473	-1.555629	-2.342443
EMP3	1.112017	0.644288	0.431254	0.439052	-0.071861	-0.77076	-0.123161	0.34963	-0.559716	0.451119	0.477237	0.895758	-1.146828	0.333395	0.908724	0.719837	0.945108	-1.17861	0.654105	-1.986165	0.197918	-0.051982	-0.080264	0.217341	-0.050265	0.535358	-0.380365	0.844213	0.659091	0.2188	0.002181	0.677748	-0.219747	0.303523	-0.147311	-0.002181	-0.169573	0.136751	0.457763	-0.71539	-0.098993	-0.567693	-0.685066	-5.881879	-5.881879	0.300877	0.605922	-0.030235	-0.663318	-0.218679	-1.64711	-1.807822
MT1X	2.952172	-0.11438	0.106442	2.957011	1.436647	1.871389	0.799358	0.237216	1.175803	-0.064664	0.178902	-0.650637	1.797965	1.115026	-1.715546	-0.878326	0.882972	-0.226037	0.59112	-1.066163	-0.529839	1.682467	-0.385835	2.248353	0.529478	0.524531	1.885845	0.055485	-2.274854	-0.780096	3.027031	-1.203806	2.761084	-1.327658	0.94186	-0.373043	-0.941851	1.340287	1.090803	-0.899981	-2.493634	-0.922229	-0.913969	3.043626	3.185796	-0.328197	-0.055485	-1.603644	-0.912279	-1.140701	-4.516293	-1.142862
GDPD3	0.868216	-0.111061	-1.562827	1.08667	-0.576793	-1.323636	-1.132534	-0.071649	-3.899773	-0.563634	0.531502	-1.410125	-1.010723	-0.586685	-1.635277	0.530127	-0.3863	-1.649523	-0.227368	-1.195323	0.228532	1.930123	-0.78393	0.071649	1.294167	-0.732929	0.279484	-0.238509	-0.404079	-1.723592	-0.307776	0.289699	0.12464	1.558505	1.30649	2.445372	0.452766	1.358832	3.788039	1.474772	0.579439	1.297554	-0.848106	3.137488	-3.899773	-0.479067	1.911888	1.574629	2.151407	1.108822	1.58121	-1.629509
CD14	2.145147	0.588349	0.488547	3.534543	0.952432	-0.086895	-0.46173	0.869136	0.385236	-0.358789	0.000517	-0.061759	0.188077	0.897483	0.308916	0.3783	-0.532131	-2.264831	1.37091	-1.333047	-0.679774	0.629439	0.162312	1.051255	-1.497881	1.393367	0.629169	0.617469	-0.640106	-0.39075	1.092031	-0.294162	0.698157	-0.466472	1.008723	0.336662	-0.208565	-0.182733	1.614196	-0.715729	-1.840251	-1.492719	-0.644452	0.841829	1.491421	-1.279747	-0.000517	-0.645259	-1.322211	-1.622956	-1.091686	-2.956958
SCNN1B	-3.822355	-3.822355	-1.347566	-3.822355	-1.05084	0.969868	-0.631542	-1.805557	-3.822355	-0.695689	-0.110549	-1.90785	-0.722575	-1.370957	-1.219909	-3.822355	-0.963993	0.437821	-1.203988	0.931914	0.025303	0.957448	0.827384	-0.043304	-0.71308	-0.766511	0.434933	0.473572	-0.025303	-0.355613	0.708547	0.589672	-3.822355	1.747595	1.820908	0.623091	1.318681	-0.075244	1.707802	1.373669	1.866841	2.383924	1.002609	1.651745	2.65946	-0.043969	3.392088	2.765943	2.542485	2.110083	2.576754	-1.257558
TMEM97	-0.740568	-1.097713	-1.114169	-4.886425	-1.641926	0.046396	-2.119186	-1.866846	-0.548672	-1.486715	-4.886425	-0.845097	-0.104798	-0.548809	-0.017569	0.105952	-1.663638	0.678697	-1.056722	0.342033	-0.547561	0.04012	-0.301066	-0.27184	0.552734	-0.920043	-0.55511	0.185032	0.629218	-0.220492	-0.355523	-0.147699	-0.557925	1.184316	1.091785	0.017569	0.419986	1.811359	-0.037326	2.352528	1.695552	2.001712	0.258239	0.071514	2.105113	2.153204	1.542348	1.976885	1.735912	2.859871	0.811629	3.730853
RNF128	-0.093601	-4.42188	-1.94709	0.751509	-2.032664	0.908483	-1.654641	-1.009322	-0.30136	-0.961283	-1.178215	-2.122065	1.177323	-0.573044	-1.896793	-1.734634	-2.05229	-1.561363	-1.023156	-2.124376	-1.88358	0.194548	-0.599494	-4.42188	-1.816308	-0.652503	1.737608	-0.308143	-0.133204	0.093601	1.204022	0.536738	0.55751	0.763305	1.698539	-0.568792	0.884531	0.138549	0.427219	1.477436	1.151066	0.363965	0.517704	1.431586	1.84023	1.813109	1.694144	1.088012	2.26452	1.510558	-0.64675	2.266838
TRAK1	-0.888685	-0.236051	-0.82891	-5.777786	-0.081104	0.102567	-0.090447	-0.733746	-1.022667	-0.238784	-0.261126	-0.12256	-0.552507	-0.336174	0.173566	-0.009562	0.981431	0.449119	-0.540597	-0.771015	-0.081835	-0.024484	0.329154	-0.222685	-0.256446	0.034727	-0.446224	0.780083	0.806256	0.359422	-0.369415	0.399119	-0.28882	1.076975	-0.043218	0.365856	0.336724	0.009562	-0.482972	0.814033	0.977785	0.960932	0.435121	-0.101568	0.225045	1.643468	1.237062	1.200839	1.624789	0.567193	1.937114	2.018269
SLC9A2	1.304318	-0.259538	-0.960465	2.408931	-0.968762	-0.679213	-1.442435	-0.892964	-0.31643	-0.861785	0.529159	-2.355786	-0.879076	-0.831261	-1.993607	-0.248764	-0.058597	-1.059253	0.08855	-1.85582	-1.075943	1.465677	0.597398	0.855244	-0.079569	-0.14256	0.216391	0.821778	-1.020748	-1.037358	0.823187	0.226772	0.783127	1.778203	1.297617	0.751351	-0.189	0.015952	2.37411	0.376283	-0.652213	0.991446	-0.059012	1.964902	3.228401	-0.015952	1.176924	0.095659	0.163647	-0.110608	2.037628	0.493801
TOX3	1.090733	-0.655357	-0.490654	2.720726	-0.69761	-1.569924	-1.256093	-0.335194	-0.615645	-0.79573	0.907427	-1.596092	-1.820716	-1.225859	-1.990418	-1.375819	-0.818895	2.032988	-0.090436	-1.545648	-1.320539	1.90946	-0.561413	0.937329	-0.309196	0.406944	0.332008	0.925835	-0.058098	0.058098	1.016619	-0.073318	2.596357	2.467497	2.37381	0.215961	1.509766	-0.616607	1.957584	0.275612	-0.237239	-0.448238	0.82193	2.090306	4.15723	2.437431	1.531367	0.987179	3.135074	2.170897	-1.13263	-0.759706
FBP1	-0.607177	-0.762354	-0.943844	-0.497089	0.411104	-0.964912	-1.803785	-0.22098	-0.905946	-2.067583	-1.018277	-1.019181	-1.128328	-0.784493	-1.353259	-0.567784	1.172556	-1.465874	-0.444281	-2.037821	-0.826786	0.832771	0.211481	0.766749	-1.260194	2.706803	-0.804857	0.11533	-0.11533	0.271474	0.175462	0.782064	-0.119609	0.645856	1.192265	0.569181	0.798869	1.49893	0.225704	-1.0611	-0.884796	-0.416543	1.593833	0.724499	2.432953	2.48128	0.424161	0.612187	0.975209	1.003389	0.507246	2.097086
TBX2	-0.982959	-0.757217	-0.451578	-1.010829	-0.710205	-1.493966	-0.571973	-0.255342	-1.341226	-0.523452	-0.132079	-1.001703	-1.634094	-0.36605	-0.182025	0.097038	0.350198	-0.677515	0.075799	-1.099705	0.801307	1.025796	0.05414	-0.38129	-1.41448	-0.572903	-0.393157	1.770077	1.147106	0.052533	-0.052533	1.049031	-1.039993	1.645188	0.184419	0.990472	1.233659	-0.068376	2.512237	0.078282	0.785721	0.359918	1.049208	-1.078924	-6.184218	1.391858	2.975307	2.973001	1.476146	0.829585	0.240489	1.482054
CDK6	3.160045	0.166927	0.315212	4.374368	-0.198606	-0.030343	-1.270784	0.451638	0.419819	1.050914	0.390004	0.291891	0.703753	0.030343	-1.365543	0.239941	-0.117135	-1.730122	0.853867	-1.461239	-1.010128	1.629126	1.118351	1.087218	0.666808	0.621476	0.988199	0.335737	-0.992482	-0.825685	1.33866	-0.398163	2.111532	-1.609866	2.876121	-0.744217	-1.161187	-0.053764	2.106296	-0.240968	-1.653015	-0.719298	-0.415751	1.974608	4.191794	-1.428585	-0.544876	-1.2056	-0.364582	-0.855477	-2.384985	-2.034513
CAPN5	1.087815	-1.03882	0.18933	2.154724	-1.022899	-2.342545	-1.289123	-0.319569	-0.400801	-1.399255	-0.42211	-1.983401	-2.847288	-0.072039	-0.622463	-2.076391	-0.356623	-0.404907	1.028969	-2.315113	-0.323111	1.25438	-2.351009	1.628552	-2.027472	-0.321092	0.595757	0.072039	-0.173532	0.093462	1.547848	0.983698	1.672742	-0.34987	0.848485	1.523169	1.057726	0.128483	4.5222	-1.76097	-0.376631	-0.928391	0.946029	3.548909	4.410418	0.215306	1.156839	0.289608	0.614465	0.271301	2.192043	-1.834515
MT2A	1.700234	0.006754	0.131805	2.307886	1.548407	1.312324	0.156574	0.558883	-0.956194	0.233903	0.094125	-0.086303	1.074701	0.059964	-1.725224	-0.47624	0.31438	-0.994942	1.09672	-1.522252	-1.167808	0.630705	0.514288	0.739781	-1.134769	0.380729	-0.006754	-0.079239	-1.793572	-0.826789	2.368637	-0.781479	1.481305	-1.350742	0.548251	-0.249973	-0.892694	0.186553	0.353029	-1.184982	-2.505942	-1.06931	-0.924836	0.451152	0.762163	0.062269	-0.960556	-1.44132	-0.955334	-1.415201	-2.957828	-3.132875
CYP4B1	-4.926447	-1.783283	0.413764	-4.926447	-4.926447	-1.713513	-2.159208	-1.906868	-0.364971	-2.340417	1.432668	-2.56054	-0.394372	-4.926447	-1.447953	-2.458119	0.416799	-2.497788	-0.227763	-0.614049	-1.614497	0.133282	-2.230952	2.223171	0.88353	0.330705	1.060556	-0.468779	0.711034	-1.561638	0.528133	2.342033	-0.597947	2.187164	0.716816	0.108871	1.664965	1.291458	-0.475796	-0.720338	2.19465	2.664098	1.502442	1.417223	2.738904	2.337153	0.081716	0.483667	-0.081716	2.606954	4.259688	-0.761713
PLEKHG6	1.845035	-0.876351	-0.543029	-4.019516	-1.039869	-0.770268	-0.205161	-0.298428	-0.612123	1.519487	-0.77585	-2.632295	-1.130466	-0.992515	-4.019516	0.508154	-1.649925	-4.019516	-0.724914	-0.36758	-1.481215	0.596913	1.632967	1.376962	-0.333789	-0.963672	2.160152	1.239213	-0.498269	0.032432	1.47984	0.565089	1.272627	0.487337	1.053146	1.378559	-0.032432	1.692099	2.121161	1.559425	-0.350824	-1.499866	0.778692	3.017746	-4.019516	0.378758	0.988647	0.2693	1.788418	1.136594	2.348264	-1.001251
PRRX1	2.120266	0.575244	1.156777	3.478054	-0.007519	-0.056081	0.526344	1.146434	0.682908	0.050268	-0.031275	-1.327326	-0.96071	1.560325	1.736278	-0.117769	0.111382	-1.997245	1.681083	-1.718711	-0.118383	1.558849	-0.624478	0.747075	-1.709437	0.3066	1.957274	0.956737	-0.663667	0.043683	0.568106	-0.250255	0.007519	-0.342208	0.77866	0.286135	0.719753	0.581662	2.174118	-0.600212	-0.813925	-0.53481	-0.083845	1.23699	-0.088646	-0.55241	-0.152127	-0.668513	-0.308309	-1.323727	-1.653736	-3.535881
GLIPR1	-1.470264	0.404228	0.527007	-0.92656	0.250602	0.248141	0.042227	-0.19821	-0.651816	0.640157	0.3829	0.483224	0.291807	0.01988	0.81386	0.485964	0.101505	-0.694213	-0.079554	-0.240845	0.737898	0.107508	0.649098	-1.379328	-1.477582	0.030101	-0.574325	0.580884	0.418615	0.209892	-0.821633	0.310933	-1.451444	0.436814	-1.028259	-0.348242	0.656856	-0.184702	-1.510542	-0.48792	0.21969	-0.110595	-0.718776	-6.671523	-0.668692	0.662619	-0.01988	0.212221	-0.04265	-0.523984	-0.969276	-1.61703
BHMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36959	4.835729	0	0	2.356718	4.779803	0	0	0	0	0	0	3.469681	0	4.136519	2.680407	0	0	4.761412	3.059504	1.716224	2.605008	4.663587	0	1.974258	1.496173	5.852275	0	0	6.659634	6.140756	3.56017	4.401232	5.543236	0	7.594685
HMGCS2	-3.769004	-3.769004	-3.769004	-3.769004	-3.769004	-2.237524	-3.769004	-0.104568	-3.769004	-1.296647	-3.769004	-2.042955	-3.769004	0.248576	-3.769004	-3.769004	0.193342	-1.038585	0.331639	-2.4916	-2.001552	-3.769004	-3.769004	-0.795659	-3.769004	1.881041	-3.769004	2.378923	2.124719	0.838618	2.645847	1.914244	4.569257	-3.769004	1.156411	0.534759	3.525641	2.671653	-3.769004	1.875679	2.45527	0.157308	3.542183	1.188936	5.383614	4.268812	0.874034	4.325759	4.703853	4.222932	-3.769004	0.104568
PPFIBP2	-4.116783	-0.186545	0.186413	-4.116783	-0.39581	0.146189	-0.27295	-1.639035	0.003738	-0.385204	-4.116783	-0.116482	-0.709194	-0.313408	-0.766979	0.164052	0.026592	-1.256265	-0.079256	0.115901	0.52968	-4.116783	-0.294396	-0.337731	-0.252494	0.634767	-0.938072	0.486309	1.57234	0.333832	-0.368215	1.508346	-4.116783	1.127313	-0.303136	-0.003738	1.384225	0.443646	-4.116783	-0.75421	1.320883	1.428736	1.169396	-4.116783	1.886048	1.35965	0.720338	2.47566	2.784619	1.215131	1.485814	2.41894
FAM174B	-0.820628	-0.394456	-1.04851	-5.821457	-1.788881	-2.46845	-1.40677	-0.229713	-0.273321	-0.173723	-0.855346	-1.28797	-1.504427	0.295048	-1.171985	-0.231877	-2.06616	1.008008	-0.150821	-3.078136	-1.410933	-0.325849	0.140883	1.39617	-2.712181	-0.190647	0.773283	0.228387	0.096517	0.22538	1.015872	-0.002395	0.826359	-0.74014	2.350202	1.162014	0.816228	0.132911	0.002395	-2.092756	-0.40163	1.558121	1.295001	1.708564	0.850985	0.703054	0.367528	0.463073	1.148473	0.502873	1.98878	2.534725
PRKCDBP	0.406694	0.295317	0.427077	1.344456	-0.716817	-0.958913	0.323833	0.527535	-0.159421	0.072654	-0.006912	-0.378597	-0.885597	0.636962	-0.078321	0.0289	0.327276	-1.168646	0.786889	-1.467479	0.220214	1.213734	0.11532	0.006912	-2.152533	-0.210364	0.766658	1.144873	0.620111	-0.1266	0.161999	0.13626	-0.842979	-0.442168	1.397533	0.02571	-0.462061	-0.084205	0.964027	-0.337802	-0.65265	-0.408206	-0.115547	-0.732851	0.020957	-0.603313	0.430098	0.234309	-0.092416	-0.482002	-2.236284	-2.200102
FAP	-0.415182	1.240276	1.332284	-4.905384	1.176977	2.259731	1.313237	0.559405	-0.608539	1.037325	1.065571	0.091455	0.007576	1.627929	-1.199545	1.050166	-0.456501	-1.147772	1.130769	-0.355198	0.790567	-0.12558	1.311886	-0.542102	-1.127615	-0.264855	1.333183	1.722145	-0.250707	1.401762	-0.659712	0.659185	-4.905384	-0.007576	-0.790476	0.65102	1.215063	-1.750223	-4.905384	1.888292	-0.31037	1.053074	-0.248953	-4.905384	-4.905384	-0.236412	-0.407947	0.335525	1.362289	-0.803295	0.371489	-2.096109
UPK1A	-1.106525	-5.043509	-2.85898	-5.043509	-2.271993	-2.467372	-0.709618	-1.438041	-5.043509	-1.263347	-5.043509	-2.189083	-3.075364	-1.437819	-2.877502	-5.043509	0.74265	-5.043509	2.037454	-3.876137	1.374373	-0.427081	-1.337412	-1.611781	-2.437937	-0.44197	-0.712193	0.664338	1.430341	0.924404	3.509591	2.982724	2.202723	-0.195473	2.344768	1.724872	-0.670931	4.746093	7.162219	2.053924	3.384945	4.427942	3.790046	0.195473	3.827257	4.108241	6.102717	2.429011	1.825132	3.465553	3.47936	7.078055
RAB15	-0.282044	-0.590913	-0.748521	0.746971	-1.796153	-0.979258	0.097026	-1.093182	-0.51986	-0.536293	-1.063942	-2.035702	-0.359958	0.781783	-0.674128	-1.123968	-1.125077	-0.19171	-0.011261	-0.27858	-1.363052	-0.647415	-0.197689	0.32678	-1.047844	-0.448044	1.204014	0.068087	-0.685327	1.870745	0.376103	0.446408	0.141565	0.011261	-0.132713	1.455249	0.546487	-0.315355	0.249892	2.027018	-0.653066	0.417906	0.211771	0.989563	1.266834	0.813041	0.970548	0.447139	1.118693	0.184679	0.830306	3.328319
PPARG	-0.478692	-1.360045	-1.555123	-0.707904	-1.647033	-2.961727	-1.36995	-0.43548	-2.627836	-1.478319	-0.756184	-1.587204	-1.818388	-0.777474	-1.155838	-0.514806	0.037925	-2.191478	0.060587	-2.590415	-2.025135	0.901628	0.800112	0.39738	-2.11146	-1.001705	2.046005	0.887889	-0.768243	0.74758	1.752103	0.50277	1.969471	-0.037925	2.068315	0.439583	-0.258946	0.407589	2.533683	0.775983	-0.303551	-0.275051	0.909579	2.024172	2.432636	0.49626	2.047891	1.09208	2.360577	1.597366	0.373632	2.43233
CHST15	0.326532	1.006248	0.19067	0.725009	0.929719	0.999864	0.316776	0.51357	-0.670103	1.095663	0.259153	-0.788258	0.485154	0.482922	-1.040588	-0.46021	0.076937	-1.077408	0.322548	-1.632795	0.041499	0.679642	0.177074	0.155495	-0.579529	0.216591	-0.338373	0.348681	-0.777698	0.055814	-0.01098	-0.021081	0.566729	-0.673858	0.138646	-0.002509	-0.420259	0.002509	0.804378	-1.225356	1.105305	-0.405772	-1.080216	-1.19992	-5.595922	-0.329303	-0.820639	-0.558847	-0.43032	-0.223211	-1.078227	-2.577657
SEMA5A	-1.0997	-0.61728	-0.017356	-5.427979	-1.650172	-1.802132	-1.39312	-0.67854	-2.183141	-1.746677	-0.578155	0.359736	-2.101843	0.028394	1.324948	0.924385	-0.911856	0.429781	0.455026	-2.471157	0.189391	0.067629	-1.98703	-1.286845	-2.183516	-0.82644	0.604117	-1.522812	0.537307	0.892843	-0.986031	0.538796	-0.363818	0.945077	0.758612	0.81993	0.017356	-0.673913	1.242391	0.378642	0.061915	-0.120411	-0.283315	1.37027	-5.427979	1.112186	1.02074	1.272085	2.04167	1.52659	1.195507	-1.851936
SPINK1	-5.465809	-5.465809	-2.865205	-5.465809	-3.402635	-5.465809	-3.865152	-0.444147	-1.912335	-0.739131	-1.754003	-2.320474	-2.823623	-0.265914	-4.095443	-2.847908	-0.949686	-5.465809	0.265914	-4.547411	1.041951	0.50606	-5.465809	-5.465809	-0.449416	2.415419	-5.465809	2.204779	2.994991	1.567309	3.348799	1.786764	3.157272	-2.644992	3.310788	4.776382	4.349599	3.392807	6.079343	2.215683	3.01305	1.356533	4.369047	1.243079	3.686809	5.077335	4.11341	6.086376	5.614785	4.728734	-3.630545	-2.181764
FAM59A	-0.2156	0.186684	-0.411436	-0.64867	0.337183	0.092614	0.489163	-0.245587	-0.869655	-0.187478	0.033016	-0.686137	-0.43742	0.444367	-0.183142	-0.871378	1.688155	-0.600028	0.214093	-1.305138	1.276259	0.836139	-0.078261	-1.044107	-1.464677	-1.220521	-0.227422	0.417704	1.440856	0.025044	0.470918	-0.046864	-0.601981	0.837334	0.229007	0.172767	0.373425	0.541518	0.454261	-0.025044	0.339195	0.460444	-0.26459	-5.822059	-5.822059	0.564941	0.992159	0.205175	0.712502	-0.371062	-0.776396	-1.084578
AHNAK2	1.06703	-1.052747	-0.793938	0.641141	0.312151	2.0885	0.503594	0.282314	0.217318	0.665989	-0.137986	-0.913231	1.654925	0.785548	-1.967139	-0.300995	0.966569	-2.14199	0.168483	-2.268243	1.566973	0.715961	-1.249863	0.56209	-1.603155	0.716576	-1.720345	-0.010647	1.455007	-0.084351	0.627623	0.011511	-5.899602	0.010647	-0.693339	0.378929	-0.235258	-0.370073	0.091342	1.247823	-0.041933	1.080883	-0.538384	-5.899602	-5.899602	-0.512677	0.165648	-0.201028	0.25485	-1.055341	-2.612328	-3.802729
TMPRSS2	-4.53617	-4.53617	-2.199223	-4.53617	-2.668588	-2.351797	-2.280601	-1.346357	-4.53617	-0.756008	-4.53617	-3.026948	0.150751	-2.49051	-4.53617	-4.53617	-2.166579	-4.53617	-0.010669	-2.807579	-0.465682	-4.53617	0.04919	0.078416	-4.53617	0.179314	-1.067754	1.462012	0.010669	0.671324	0.372114	1.058997	-0.511757	2.669242	1.514897	1.794436	3.210129	1.111859	1.740151	0.731154	-0.201791	0.541792	0.778608	0.072401	-4.53617	1.454878	1.604586	2.179176	2.730516	2.328301	3.244636	3.270484
