	WYK_GC1	WYK_GC10	WYK_GC11	WYK_GC12	WYK_GC2	WYK_GC3	WYK_GC4	WYK_GC5	WYK_GC53	WYK_GC54	WYK_GC55	WYK_GC56	WYK_GC57	WYK_GC58	WYK_GC59	WYK_GC6	WYK_GC60	WYK_GC61	WYK_GC62	WYK_GC63	WYK_GC63_re	WYK_GC64	WYK_GC65	WYK_GC66	WYK_GC67	WYK_GC68	WYK_GC69	WYK_GC7	WYK_GC70	WYK_GC71	WYK_GC72	WYK_GC73	WYK_GC74	WYK_GC75	WYK_GC76	WYK_GC77	WYK_GC8	WYK_GC9
GATA3	-0.931174	0.821941	-1.424714	0.600714	-1.249969	1.643122	1.128127	-1.506026	-1.011135	0.051489	-1.449634	-0.051489	-2.331423	0.439622	1.130251	2.267173	-1.302667	0.336305	-2.842216	-1.066334	-2.687488	0.657802	1.629	1.551513	0.341817	-0.233983	1.217786	-1.447838	0.566882	0.951105	-4.813201	2.593812	1.590068	-0.184833	1.311056	-2.452678	-2.733745	-0.089899
HMGCS2	-7.420452	-2.12399	-2.324686	1.855747	-0.535446	0.646617	0.001708	-0.001708	-2.158499	-0.948856	0.304787	-7.420452	-7.420452	-0.417772	4.657145	2.811653	-2.899892	2.017183	-7.420452	1.989983	-7.420452	3.33162	3.124846	1.257154	4.367151	-2.966396	5.220429	-4.150833	1.624272	3.302672	-6.074148	3.447768	3.640166	-0.507424	4.689858	-5.863717	-5.776735	4.083233
MSN	1.117538	0.739841	1.417648	-0.066051	0.067362	0.396842	-0.361501	1.512213	0.143304	0.238112	0.500331	-0.918556	-2.553162	-0.958823	-1.956445	-1.169471	-0.414311	0.581498	1.096554	-0.786348	-1.370992	-0.341212	-1.30248	-0.378019	-1.771107	0.82965	0.148344	0.454457	0.150703	-0.195141	0.066051	-1.928458	-1.760204	0.340719	-0.100093	0.95226	1.806327	-0.529857
MT1X	-0.156749	1.743865	2.134294	-0.316497	0.44158	-0.216328	-0.644953	4.146523	2.363766	-0.565217	1.359974	-7.77585	3.403452	0.400222	-1.939916	-1.591425	1.512263	-2.013568	3.621564	-0.855539	0.717346	-0.951732	-0.964945	-1.030402	1.238505	-1.101064	-2.057667	4.218278	-0.550238	-0.828326	2.226755	0.271125	-1.744045	0.156749	-0.585532	1.628744	2.735428	0.504146
MT2A	2.184402	1.994116	3.248222	1.573706	-0.356266	-0.008551	0.008551	3.200831	1.071018	0.197679	2.94312	-1.790877	-4.314178	-0.554675	-0.829903	-1.839462	1.362281	0.056272	4.154539	-1.649898	-2.897393	-0.452713	-0.61169	-0.636146	-0.932995	-0.465404	-1.113962	1.614673	0.711369	-0.609723	-1.134745	-1.045507	-1.558859	0.681344	1.0549	1.082114	1.595034	1.076157
PRRX1	0.059123	1.799819	1.739565	0.573778	1.689401	-1.455396	-1.469689	2.607528	-0.053596	-1.008473	0.65453	-7.454767	-0.96376	0.158446	-1.604804	-1.842615	0.949381	0.438108	1.402629	-0.115403	2.087092	0.760284	-0.021955	0.653518	-2.173124	-0.21799	1.223171	-2.372254	-0.151375	-0.239281	2.298383	-2.128009	-1.243831	1.267425	0.021955	-0.420218	-0.492985	0.585142
PPARG	-8.661218	0.218914	-1.846513	2.706293	-1.511009	1.952296	-0.360415	-1.831448	-0.867319	-1.080449	-1.033747	-0.12224	-8.661218	0.536954	3.732827	2.765195	-2.668312	2.046399	-4.478212	0.12224	-8.661218	1.350104	2.812786	2.182532	1.465673	2.414399	3.098558	-2.295454	2.634735	-0.960751	-4.474821	4.554856	1.546921	-0.347207	2.237211	-1.508851	-4.321854	0.941994
SCNN1B	-4.402219	0.971489	0.361486	1.012954	-0.503745	2.498616	2.205045	-2.530826	-2.044928	0.558896	-1.513304	-0.384135	-6.905315	-1.396813	3.181408	1.695346	-1.378189	0.089608	-1.810475	-1.013349	-8.614233	0.035735	2.671851	3.059627	1.784374	-0.752558	-1.042711	-3.790686	-0.73041	2.485261	-5.251688	1.893329	2.147189	2.016084	0.300798	-0.014561	0.014561	-0.029097
SCNN1G	-7.910196	-0.113143	-1.707903	1.826136	1.053844	2.587846	2.973784	-3.048998	-1.884848	1.251547	-1.761347	-7.910196	-1.400382	-2.964582	1.245784	3.906335	-0.556533	0.041313	-1.485958	0.302581	3.002103	0.362892	2.054632	3.068577	1.789845	-1.651881	-0.187528	-3.356154	0.264498	2.854786	-4.585985	1.570337	2.676301	0.261007	-0.041313	-0.382782	-1.221476	-0.363483
SLC9A2	-4.912016	-1.286681	0.774399	2.033954	0.105011	1.4953	1.422229	-4.494981	-0.387262	-1.566913	-1.106543	-7.519449	-3.912819	1.54347	2.019987	1.722954	-1.393151	0.885324	-7.519449	0.3793	-3.804888	-0.305789	3.586038	2.900365	2.073316	-1.351494	-0.948249	-3.224309	1.350403	2.466796	-7.519449	0.50479	2.293321	2.293749	0.924851	-1.831789	-1.628746	-0.105011
SPINK1	-6.837009	-1.631101	-0.722771	1.021856	-0.392513	-1.040709	0.09563	-0.916189	0.314318	-0.09563	-0.746649	2.506244	-10.259487	-2.210421	1.732153	3.714956	-3.017421	3.645211	-5.088455	1.648174	-10.259487	2.181155	4.58465	3.320677	-1.27642	-6.432033	4.229047	-2.223443	2.558904	0.503169	-6.783163	3.377823	2.515972	0.644412	3.679778	-6.811606	-8.666408	0.831261
TBX2	-1.353555	-1.672493	-0.975188	-0.146513	-0.335944	1.722834	1.908915	-2.109388	1.315624	0.56797	-2.8632	1.555991	3.036122	-3.222348	0.040142	1.761561	0.265163	0.242549	-1.226483	3.044297	3.404362	-1.230982	1.725993	0.904948	-1.657877	-0.343493	0.880684	-2.169731	-0.040142	2.55488	0.241684	-0.793863	2.194205	-1.083694	0.521734	-3.323897	-1.542586	-0.320316
TMPRSS2	-8.60847	1.169513	-0.958283	0.608808	-1.348915	1.899163	0.406875	-2.862157	-1.069809	-0.867795	-1.591208	2.204312	-7.200912	0.098466	0.934978	0.939678	-1.988851	0.823868	-6.681969	-0.207731	-7.537035	-0.875373	1.45858	1.797817	-0.238651	-3.529947	0.193765	-2.725137	0.660445	0.283563	-4.859824	1.251178	1.768179	0.588208	0.90804	-0.098466	-0.669969	0.276606
UPK2	-8.539541	0.670306	-0.879135	0.130846	-0.750607	2.499468	3.302465	-5.264463	0.015356	2.281654	-1.000195	2.324721	-0.998726	-0.14979	4.157363	1.581989	-0.128772	1.835998	-8.539541	-0.015356	-1.296392	-0.18685	1.496598	3.232478	2.748798	-1.224959	-1.649327	-7.529426	-1.903773	2.615922	-6.361743	0.16295	1.818196	0.428284	1.569309	-5.581922	-5.385702	0.551918
PPFIBP2	-0.412038	-0.766597	-0.706252	0.078513	-0.780073	1.533356	1.213477	-0.62076	-1.622541	0.259784	-1.131101	-0.022948	-2.755086	-0.758051	0.435753	1.504613	-2.046924	1.228904	-3.237777	-0.88739	-2.364032	1.504375	1.791126	1.669354	0.853324	-1.258424	1.377014	-0.659796	-0.18738	1.229303	-2.773765	2.126873	1.425858	0.737023	1.371093	0.478929	0.022948	-0.11543
SEMA5A	-2.218146	0.940735	-0.543235	1.554029	-1.435669	2.944833	0.616608	-1.05119	-1.49861	0.230181	-1.469101	1.262581	-6.134851	-0.132095	1.40749	0.531654	-2.905688	1.6288	-3.761731	0.183754	-4.592778	-0.009662	2.487711	1.946669	0.477542	-1.569605	1.725739	-2.046248	0.009662	0.109726	-5.67538	-0.040302	2.627	0.14958	0.10678	-2.537868	-3.221886	-0.42647
ADIRF	1.358392	0.980928	-0.741136	-1.095169	-0.859566	1.799513	0.67753	-0.858666	-0.382368	0.721467	-0.477522	-0.028018	-6.610773	0.643799	3.402553	0.028018	-0.737489	0.752765	-2.350763	-0.514327	-8.559772	-0.184037	1.979461	1.29758	1.817953	-0.403447	2.714225	-0.893766	-0.602399	2.648332	-3.186128	1.000829	1.400078	0.0708	1.506097	-1.858983	-0.387007	2.233408
SLC27A2	-5.998466	0.61609	-1.129578	-2.426409	-2.120604	-0.131565	-0.07735	-1.039314	1.658693	-0.888341	-0.446186	1.846067	-5.998466	0.878797	2.107065	1.308421	-1.72127	2.701875	-5.998466	2.565991	-5.998466	0.07735	1.01171	2.337525	0.906559	-2.193605	1.775677	-2.198555	1.118763	0.327106	-4.79108	2.895322	1.853672	-1.133284	0.414922	1.201304	-2.242827	-0.567649
GLIPR1	-7.282216	0.116075	0.699919	0.848096	-2.189936	-0.239705	-0.969669	1.556355	-1.73214	-0.116075	0.21067	-7.282216	-7.282216	0.322753	-0.476774	-0.917458	-1.915745	1.77259	-0.440489	-0.824407	-7.282216	1.217179	0.538078	1.170707	-0.386024	2.574082	1.021051	0.295356	2.011731	-2.767794	-3.822353	0.568624	-1.620553	1.061258	0.552297	0.24284	-1.394974	0.695971
UPK1A	-7.556307	0.076917	-1.52511	-0.944592	-0.269409	1.62915	2.992447	-3.756865	2.749225	2.764182	-0.951014	3.01798	-0.862887	-0.171496	2.670612	-0.076917	1.046187	2.840315	-2.670159	1.538961	-7.556307	-0.344188	5.744334	3.474477	3.051157	-4.088216	0.149376	-3.943966	-0.419426	2.830437	-4.904204	2.939786	2.323183	-0.418534	3.686219	-4.731031	-5.340523	0.497089
TRAK1	-1.386323	-0.028829	-1.08371	0.579625	-2.59718	0.909924	0.245802	-0.249768	-1.165548	-0.825639	-0.406022	0.498746	-3.099718	0.22763	1.275178	1.32445	-1.704373	0.98351	-2.343031	-0.355634	-1.824274	0.267402	2.08086	1.154309	0.690027	0.028829	1.819882	-0.86816	-0.202763	0.66252	-3.093697	0.801841	0.806762	-0.197039	1.175627	-0.432425	-1.303381	0.429152
PALLD	-2.886824	-0.714435	1.010685	1.582477	-2.186953	-0.572737	-0.151871	1.405648	0.991794	1.068408	1.080057	-0.419118	-1.284533	0.112609	-1.31701	-1.136276	-1.521584	1.339414	-0.524321	-0.177434	0.081943	0.586607	0.519815	1.078739	-1.198013	0.955372	0.644604	-0.081943	0.493709	-1.673678	-1.540431	-0.52431	-1.153391	1.060928	0.278334	1.016357	-0.303426	0.612972
GPD1L	0.622407	0.63663	-0.569391	-2.076635	-1.696356	1.296509	0.760687	-0.063937	-0.528838	-0.178249	-0.55577	-8.443656	-2.791801	0.789644	2.095938	0.038299	-1.132634	1.051689	-2.108518	-0.038299	-8.443656	-0.299654	1.493213	1.111038	1.990689	-1.669651	0.780934	-1.33121	0.11074	1.587144	-2.506528	0.646995	0.845901	0.683863	0.090374	-2.50065	-0.621321	0.198432
TOX3	-5.946284	-1.663025	-0.360874	1.802825	-0.801528	1.654935	1.41355	-1.916113	-2.4309	-0.946766	-2.078721	-5.946284	-0.133571	-2.398474	3.659662	5.221926	-2.272721	-0.795091	-5.946284	1.23483	2.693097	3.246407	3.422693	-0.810177	0.133571	-1.462725	2.951784	1.697657	2.82756	4.451443	-1.002402	2.994241	2.837042	1.643857	2.985036	-1.927096	-4.827868	1.753411
TMEM97	-3.048243	-0.619328	-1.585857	0.396407	-0.927239	1.788445	0.904258	-2.291765	0.250596	-0.368312	-0.459692	-7.728239	-5.683877	-0.100812	2.138124	1.893161	-2.136988	0.87097	-5.16409	-0.793177	-7.728239	1.537952	3.590708	2.770772	0.714567	0.100812	0.832733	-0.622566	1.483633	2.077751	-6.28088	2.434454	2.749188	-0.1022	2.493504	-1.80756	-3.058246	0.563346
CHST15	0.593397	-0.039039	0.402312	0.571503	-0.878586	0.151881	-1.219685	1.080215	-1.715615	-0.149974	-0.459185	-7.685677	-1.416515	-0.280598	-0.633229	-2.559477	0.684178	-0.742343	0.774659	-1.631802	-1.428343	0.741958	-1.168273	0.526883	-0.843583	1.209589	0.262655	0.053033	1.22182	-1.300304	0.78146	-1.971931	-1.16595	0.576023	0.481757	1.327422	0.039039	0.29843
VGLL1	-0.572092	0.183562	0.243254	-1.550384	-1.422446	2.267812	1.459995	-4.548249	-0.060024	-1.008735	-1.47064	-8.137276	-1.974094	0.572912	1.829992	1.023574	0.785825	1.524864	-1.106286	-0.362829	-0.03902	-0.436807	0.242045	1.726463	0.377564	-1.503325	-0.177135	-5.675576	1.130072	1.210996	-1.764089	0.603759	1.330119	1.496796	1.031286	-3.588591	-2.134507	0.03902
PLEKHG6	0.162969	-0.203636	-0.220351	0.719773	1.810446	0.384659	1.107032	-1.415983	-0.996894	0.125404	-0.616779	-2.001105	0.353933	-0.388864	-0.051134	1.046602	0.739607	-0.375354	-1.264614	1.082098	0.015926	0.462076	1.120245	1.502715	1.886647	-0.455082	0.366882	-1.043517	-0.153967	2.021944	-1.848834	-0.135793	2.179888	-0.504502	0.561434	-0.894037	-0.599205	-0.015926
PDGFC	-7.320213	1.741312	1.079498	1.242086	-1.174861	0.523986	-0.330503	1.679979	-0.470868	0.016628	0.826597	-7.320213	-1.05443	0.203846	-0.327287	-0.450623	-1.292542	1.406216	-1.989922	-0.352488	-6.193572	1.18151	1.238474	0.637784	-0.869241	-0.016628	0.303318	0.387249	1.338505	-1.029783	-0.186345	-0.042054	-1.051432	1.608735	0.132006	2.278704	-1.408821	0.656134
GAREM1	-1.113867	0.794892	-1.53648	-0.308309	-1.373037	0.493123	0.027253	-0.264995	-1.773821	-1.050094	0.627183	0.270809	-5.933535	-0.027253	1.780179	0.2493	-1.353595	0.390993	-1.915965	-0.511609	-4.893385	0.034924	1.110513	1.164381	0.960794	-0.486123	0.054731	-0.903171	0.236815	-0.056321	-5.326731	1.233163	1.764468	-0.413007	0.972377	0.186849	-0.306719	0.240243
GDPD3	1.568923	-1.101724	-0.574468	0.652051	-0.871346	3.227522	2.620161	-1.821856	0.140432	-0.400675	-0.969662	1.052099	-7.46197	2.026638	2.664603	2.617683	0.38687	1.492802	-1.193006	0.081406	-0.646185	-0.299036	0.366358	1.765379	1.830251	-1.03258	-0.61432	-1.33448	0.31371	1.523208	-3.287537	-0.081406	2.758094	-0.186158	-0.204532	-1.001647	-0.10033	0.357356
RNF128	-2.109467	-4.707211	-2.137271	0.243548	-1.457051	2.86057	-1.391593	0.495368	-0.670318	-1.072242	0.005978	-8.034381	-1.58797	-0.005978	3.965865	1.760097	-2.751598	1.667193	-3.015049	0.632094	-0.460406	0.616628	2.916647	1.953416	2.624499	1.797093	4.582423	-1.589824	1.563612	-0.608074	-6.319002	4.49608	3.079708	-0.824628	2.680451	-0.818198	-2.040761	0.767658
TUBB6	0.045883	1.188732	2.549384	1.932908	-0.715012	-0.589188	0.200313	1.574026	0.120253	0.153419	1.003402	-4.769892	-1.663574	-0.452586	-0.943061	0.180379	-0.182833	-0.189962	2.052387	-1.731135	-2.198413	-0.221376	-0.045883	0.186596	-0.381016	0.569952	-0.111301	0.71054	0.122129	-0.503685	-1.432508	-0.111103	-0.156062	0.153775	-0.167362	1.40144	0.32435	1.000492
CAVIN3	0.846295	1.160995	2.897813	-0.627775	3.451673	-0.329146	1.254679	0.29567	3.071337	1.593515	-0.441451	0.923551	3.856408	-1.399996	-1.87434	-0.906151	3.544674	-1.061012	2.716789	4.089287	5.42557	-0.747354	-0.831115	-0.470473	-0.540075	0.57377	-0.773546	-0.468912	-1.054174	0.64581	4.815021	-1.506897	-1.051993	-0.78269	-0.29567	-0.570332	1.780212	1.419581
AHNAK2	-0.494008	2.510381	1.695255	0.36782	0.76681	-3.305743	-0.408242	3.81622	0.674452	0.204519	2.369949	0.256527	0.605725	-0.658363	-2.167465	0.468492	0.239298	-1.566074	3.499729	-0.86916	-0.568591	-1.754152	-0.518045	-0.672514	0.596051	-1.848135	-0.204519	3.65292	-2.255355	-2.179215	1.737145	-1.930507	-2.440367	-0.854843	-1.270885	4.092789	2.976821	2.549057
RAB15	-3.389632	1.877543	-1.108493	1.455831	-3.10545	1.311639	-0.607989	-1.950859	-0.801433	-1.542549	-0.474753	-8.411184	-1.877873	0.545201	1.714306	2.2996	-0.744603	1.024708	-4.18574	-0.317144	-2.083442	0.537667	1.541925	0.414291	0.937407	-0.651534	1.293862	-0.987366	0.57083	0.211629	-3.107836	2.076113	1.268445	-0.020078	1.682852	0.020078	-1.037854	1.251398
FAM174B	-4.748122	-1.580518	-1.418372	0.863929	-2.569958	0.201294	0.46727	-2.240014	-1.366369	0.210093	-0.688105	-1.360608	-5.993297	1.32527	2.238211	3.454278	0.202705	1.257681	-1.889938	-0.80855	-6.942017	-0.201294	1.430934	0.857316	2.505487	-0.912081	1.442059	-1.04731	0.936691	0.69527	-3.547333	2.707983	1.741136	-0.41183	1.832707	-2.672778	-2.558795	1.670468
